episode,env_steps,elapsed_time_s,steps_per_s,episode_return,rolling20_return,avg_loss
633,268536,440.88,609.09,281.99,255.29,0.6387
634,268868,441.43,609.08,245.85,253.14,1.0006
635,269197,441.96,609.10,273.09,255.02,0.8171
636,269632,442.66,609.12,253.71,255.46,0.7415
637,270076,443.37,609.15,224.80,253.72,0.8889
638,270399,443.88,609.17,237.58,254.19,0.8435
639,270867,444.65,609.18,231.30,253.62,0.8432
640,271153,445.11,609.18,224.16,251.40,0.9663
641,271691,446.01,609.16,267.42,252.20,0.8606
642,271945,446.42,609.16,263.76,251.86,0.8080
643,272440,447.22,609.19,261.16,253.06,0.8501
644,272702,447.64,609.21,239.25,252.63,0.7860
645,272941,448.02,609.22,232.04,251.61,0.7311
646,273258,448.56,609.19,261.02,251.77,0.7172
647,273595,449.11,609.19,268.28,250.83,0.7426
648,273945,449.74,609.11,298.09,253.11,0.7916
649,274233,450.22,609.11,259.53,253.52,0.8032
650,274491,450.64,609.12,245.49,253.04,0.6240
651,274934,451.36,609.12,207.70,250.34,0.7238
652,275334,452.01,609.13,265.88,252.10,0.7454
653,275611,452.47,609.13,278.77,251.94,0.8542
654,275849,452.86,609.12,256.31,252.47,0.7720
655,276188,453.42,609.12,272.31,252.43,0.7771
656,276607,454.11,609.12,263.81,252.93,0.7192
657,277077,454.90,609.09,296.99,256.54,0.7808
658,277419,455.47,609.08,272.35,258.28,0.7674
659,277636,455.83,609.08,264.04,259.92,0.9763
660,277943,456.33,609.09,249.90,261.20,0.7756
661,278301,456.92,609.08,216.27,258.65,0.6647
662,278770,457.71,609.05,242.91,257.60,0.6882
663,279017,458.10,609.07,258.28,257.46,0.8641
664,279274,458.52,609.08,260.07,258.50,0.7500
665,279613,459.05,609.11,257.14,259.76,0.7456
666,279851,459.46,609.09,256.43,259.53,0.9368
667,280051,459.82,609.04,240.93,258.16,0.6678
668,280348,460.31,609.04,294.59,257.98,0.7540
669,280684,460.87,609.03,278.54,258.93,0.6830
670,280972,461.35,609.02,235.94,258.46,0.6717
671,281297,461.88,609.02,269.54,261.55,0.7850
672,281893,462.93,608.94,231.84,259.85,0.7447
673,282246,463.56,608.87,260.31,258.92,0.8780
674,282512,463.98,608.89,254.18,258.82,0.6809
675,282822,464.51,608.86,243.18,257.36,0.6674
676,283213,465.16,608.84,286.39,258.49,0.6691
677,283490,465.61,608.86,291.43,258.21,0.6817
678,283891,466.28,608.84,280.96,258.64,0.6312
679,284078,466.59,608.84,281.99,259.54,0.8019
680,284322,466.98,608.85,315.22,262.81,0.8914
681,284680,467.59,608.83,268.72,265.43,0.5958
682,284966,468.11,608.76,270.50,266.81,0.7280
683,285233,468.55,608.76,269.16,267.35,0.7036
684,285510,468.99,608.77,295.63,269.13,0.7011
685,285865,469.57,608.78,270.65,269.81,0.7235
686,286297,470.26,608.80,269.63,270.47,0.7507
687,286556,470.70,608.78,268.83,271.86,0.5349
688,286863,471.20,608.80,281.83,271.22,0.7820
689,287197,471.74,608.80,266.52,270.62,0.6712
690,287501,472.25,608.79,243.63,271.01,0.6942
691,287916,472.96,608.76,267.44,270.90,0.7352
692,288353,473.71,608.72,273.88,273.00,0.6940
693,288684,474.25,608.72,248.64,272.42,0.6465
694,288979,474.73,608.72,287.11,274.07,0.6901
695,289299,475.25,608.74,280.77,275.95,0.7752
696,289543,475.65,608.73,249.16,274.08,0.6084
697,289823,476.11,608.73,256.02,272.31,0.6577
698,290071,476.51,608.74,259.91,271.26,0.6851
699,290265,476.82,608.75,279.36,271.13,0.7318
700,290579,477.33,608.76,225.65,266.65,0.6598
701,290929,477.93,608.73,253.97,265.91,0.6232
702,291135,478.25,608.75,309.10,267.84,0.6287
703,291472,478.84,608.71,278.05,268.29,0.6236
704,291849,479.45,608.72,249.55,265.98,0.6446
705,292344,480.25,608.73,279.29,266.42,0.6227
706,292580,480.64,608.73,265.94,266.23,0.8421
707,292908,481.19,608.72,275.38,266.56,0.7289
708,293185,481.69,608.66,237.93,264.36,0.5976
709,293659,482.49,608.63,228.22,262.45,0.6313
710,294088,483.19,608.64,256.94,263.12,0.7108
711,294271,483.49,608.64,262.75,262.88,0.6128
712,294492,483.87,608.61,282.06,263.29,0.7632
713,294904,484.54,608.63,269.44,264.33,0.7029
714,295180,485.01,608.60,251.94,262.57,0.7147
715,295490,485.54,608.58,301.00,263.58,0.7973
716,295956,486.31,608.57,244.44,263.35,0.7095
717,296187,486.69,608.58,253.57,263.22,0.7236
718,296425,487.07,608.58,258.87,263.17,0.6456
719,296671,487.47,608.59,280.97,263.25,0.6930
720,296955,487.93,608.60,263.59,265.15,0.6448
721,297321,488.56,608.56,277.78,266.34,0.7027
722,297690,489.17,608.56,290.11,265.39,0.6447
723,297935,489.57,608.56,258.06,264.39,0.6002
724,298326,490.22,608.55,287.78,266.30,0.5872
725,298549,490.60,608.54,248.66,264.77,0.5160
726,299013,491.34,608.56,255.39,264.24,0.7171
727,299332,491.86,608.57,243.07,262.63,0.7860
728,299640,492.36,608.58,285.83,265.02,0.5638
729,299876,492.75,608.58,232.92,265.26,0.6420
